Time_Index,res_hydro_1,natural_gas_2,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,fixed_offshore_wind_2,float_offshore_wind_2,battery_2,ror_hydro_2,pumped_hydro_2,fusion_2,perfect_gen,newBESS_2,fusion_new_2
203,0.262,1,1,0.091586,0.052485823,0.048258777,0.5759,0.2783,0.2783,1,0.552743642,1,1,1,1,1
204,0.262,1,1,0.123703,0.070891335,0.065181965,0.6017,0.6281,0.6281,1,0.552743642,1,1,1,1,1
205,0.262,1,1,0.110827,0.063512396,0.058397304,0.6429,0.8384,0.8384,1,0.552743642,1,1,1,1,1
206,0.262,1,1,0.106285,0.060909481,0.056004019,0.7623,0.9035,0.9035,1,0.552743642,1,1,1,1,1
207,0.262,1,1,0.113051,0.064786919,0.059569181,0.4749,0.6695,0.6695,1,0.552743642,1,1,1,1,1
208,0.262,1,1,0.058463,0.033503796,0.030805504,0.5849,0.3868,0.3868,1,0.552743642,1,1,1,1,1
209,0.262,1,1,0.004017,0.00230205,0.00211665,0.3636,0.0922,0.0922,1,0.552743642,1,1,1,1,1
210,0.262,1,1,0,0,0,0.0513,0.1189,0.1189,1,0.552743642,1,1,1,1,1
211,0.262,1,1,0,0,0,0.2562,0.184,0.184,1,0.552743642,1,1,1,1,1
212,0.262,1,1,0,0,0,0.1101,0.3949,0.3949,1,0.552743642,1,1,1,1,1
213,0.262,1,1,0,0,0,0.1319,0.1154,0.1154,1,0.552743642,1,1,1,1,1
214,0.262,1,1,0,0,0,0.424,0.229,0.229,1,0.552743642,1,1,1,1,1
215,0.262,1,1,0,0,0,0.6945,0.888,0.888,1,0.552743642,1,1,1,1,1
216,0.262,1,1,0,0,0,0.2144,0.4986,0.4986,1,0.552743642,1,1,1,1,1
217,0.262,1,1,0,0,0,0.1186,0.0386,0.0386,1,0.552743642,1,1,1,1,1
218,0.262,1,1,0,0,0,0.6751,0.1096,0.1096,1,0.552743642,1,1,1,1,1
219,0.262,1,1,0,0,0,0.6836,0.804,0.804,1,0.552743642,1,1,1,1,1
220,0.262,1,1,0,0,0,0.5834,0.7297,0.7297,1,0.552743642,1,1,1,1,1
221,0.262,1,1,0,0,0,0.6085,0.3811,0.3811,1,0.552743642,1,1,1,1,1
222,0.262,1,1,0,0,0,0.7082,0.9123,0.9123,1,0.552743642,1,1,1,1,1
223,0.262,1,1,0,0,0,0.6361,0.8171,0.8171,1,0.552743642,1,1,1,1,1
224,0.262,1,1,0.0112,0.006418462,0.005901538,0.1494,0.0655,0.0655,1,0.552743642,1,1,1,1,1
225,0.262,1,1,0.137953,0.079057681,0.072690619,0.3083,0.586,0.586,1,0.552743642,1,1,1,1,1
226,0.262,1,1,0.345234,0.197845638,0.181911762,0.3324,0.3933,0.3933,1,0.552743642,1,1,1,1,1
227,0.262,1,1,0.416409,0.238634388,0.219415512,0.0798,0.3394,0.3394,1,0.552743642,1,1,1,1,1
228,0.262,1,1,0.488537,0.279969281,0.257421419,0.4264,0.0967,0.0967,1,0.552743642,1,1,1,1,1
229,0.262,1,1,0.365505,0.209462481,0.192593019,0.4317,0.269,0.269,1,0.552743642,1,1,1,1,1
230,0.262,1,1,0.449192,0.257421569,0.236689631,0.2856,0.8835,0.8835,1,0.552743642,1,1,1,1,1
231,0.262,1,1,0.247729,0.141967773,0.130534127,0.573,0.2729,0.2729,1,0.552743642,1,1,1,1,1
